path,type,size_estimate,matched_run_id,notes
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp917_echorange_haz32log_d10_strong_lr1e4_bs48,result,0,,no ledger row matches (extracted exp_id=exp917)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp917_echorange_haz32log_d10_strong_lr1e4_bs48_r2,result,5.6M,,no ledger row matches (extracted exp_id=exp917)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp919_echorange_32log_d10_lnll0.3_lr1e4_bs48,result,6.9M,,no ledger row matches (extracted exp_id=exp919)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp930_haz_R4_00_rawhit_repro_lr1e4_bs48_r2,result,1.1M,,no ledger row matches (extracted exp_id=exp930)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp931_haz_R4_01_eventnll_free_lr1e4_bs48_r2,result,6.6M,,no ledger row matches (extracted exp_id=exp931)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp932_haz_R4_02_eventnll_only_lr1e4_bs48_r2,result,6.7M,,no ledger row matches (extracted exp_id=exp932)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp933_haz_R4_03_survival_lr1e4_bs48_r2,result,4.3M,,no ledger row matches (extracted exp_id=exp933)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp934_haz_R4_04_softhit_t075_lr1e4_bs48_r2,result,6.8M,,no ledger row matches (extracted exp_id=exp934)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp936_R5A_sq_q050_t005_l025_bs48_r3,result,6.9M,,no ledger row matches (extracted exp_id=exp936)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp937_R5A_sq_q045_t005_l025_bs48_r3,result,6.8M,,no ledger row matches (extracted exp_id=exp937)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp938_R5A_sq_q055_t005_l025_bs48_r3,result,6.8M,,no ledger row matches (extracted exp_id=exp938)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp939_R5A_sq_q050_t003_l025_bs48_r3,result,6.8M,,no ledger row matches (extracted exp_id=exp939)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp940_R5A_sq_q045_t003_l025_bs48_r3,result,7.2M,,no ledger row matches (extracted exp_id=exp940)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp941_R5A_sq_q050_t005_l050_bs48_r3,result,6.7M,,no ledger row matches (extracted exp_id=exp941)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp942_R5A_sq_q045_t005_l050_bs48_r3,result,6.4M,,no ledger row matches (extracted exp_id=exp942)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp943_R5A_sq_q050_t003_l050_bs48_r3,result,6.8M,,no ledger row matches (extracted exp_id=exp943)
